t,frac_C,frac_D,frac_L,avg_res,gini,cum_sigma_hat,cum_output_hat
35750,0.9576,0.0424,0.0,94.73492845784388,0.011444314993378543,6.95944055944056e-06,3.849158384335613
36000,0.9564,0.0436,0.0,94.74042323789416,0.011396968667840362,6.911111111111111e-06,3.8492356555555074
36250,0.9548,0.0452,0.0,94.7416336154474,0.011387914441075512,6.863448275862069e-06,3.8493119845516652
36500,0.9548,0.0452,0.0,94.74379677343804,0.011370147636528365,6.816438356164384e-06,3.8493875046574457
36750,0.9564,0.0436,0.0,94.73812716301836,0.011417258458381157,6.770068027210884e-06,3.8494612310203022
37000,0.9556,0.0444,0.0,94.73989071641618,0.011402053327989771,6.7243243243243245e-06,3.8495340475674604
37250,0.9556,0.0444,0.0,94.73902349094037,0.011409914240011898,6.6791946308724835e-06,3.849605354093864
37500,0.9568,0.0432,0.0,94.73619399089142,0.011435149765058638,6.634666666666667e-06,3.8496748565332406
37750,0.9568,0.0432,0.0,94.73809901294324,0.011417880980693632,6.590728476821192e-06,3.849743531655542
38000,0.9568,0.0432,0.0,94.73793688505864,0.011418842665612692,6.547368421052632e-06,3.8498119178946677
38250,0.9556,0.0444,0.0,94.73741420265259,0.011426206295704759,6.504575163398693e-06,3.8498780716339107
38500,0.956,0.044,0.0,94.73822153956542,0.011419235308328446,6.4623376623376625e-06,3.849944072727182
38750,0.9552,0.0448,0.0,94.73984843764241,0.011404701919984779,6.420645161290323e-06,3.8500095277418174
39000,0.9552,0.0448,0.0,94.74319335782269,0.011373370600311005,6.379487179487179e-06,3.8500753579485645
39250,0.9552,0.0448,0.0,94.74123398106815,0.011390589952937258,6.338853503184713e-06,3.8501406185985414
39500,0.956,0.044,0.0,94.7393810334381,0.011408848547255475,6.29873417721519e-06,3.850204680506122
39750,0.9556,0.0444,0.0,94.73971956722879,0.011404021458678172,6.259119496855346e-06,3.8502670027670804
40000,0.9564,0.0436,0.0,94.73557875986856,0.01144227608265005,6.22e-06,3.8503283059997857
40250,0.9564,0.0436,0.0,94.73714756700166,0.011427315277859847,6.181366459627329e-06,3.850388736397306
40500,0.9552,0.0448,0.0,94.73945045839207,0.011407097883786103,6.14320987654321e-06,3.85044865777757
40750,0.9552,0.0448,0.0,94.74071221232593,0.0113954871187468,6.105521472392638e-06,3.8505081815948765
41000,0.956,0.044,0.0,94.73786291394927,0.011422060633851025,6.068292682926829e-06,3.850567486829059
41250,0.9552,0.0448,0.0,94.73998678714369,0.011402261869968584,6.031515151515151e-06,3.850625933575561
41500,0.9564,0.0436,0.0,94.73711686421656,0.011427746226923566,5.9951807228915665e-06,3.850682658313058
41750,0.9568,0.0432,0.0,94.73718295583939,0.011425401755393938,5.959281437125748e-06,3.8507387190417277
42000,0.9572,0.0428,0.0,94.7335392037724,0.01145777365300665,5.923809523809524e-06,3.8507939676188685
42250,0.958,0.042,0.0,94.73486972459638,0.011443292753780785,5.8887573964497045e-06,3.8508490092306045
42500,0.9576,0.0424,0.0,94.737896880398,0.011416905108212192,5.854117647058824e-06,3.8509041938822035
42750,0.958,0.042,0.0,94.73359292598501,0.011454896124363168,5.819883040935673e-06,3.850958957660688
43000,0.9576,0.0424,0.0,94.73219921203878,0.011470766872263016,5.786046511627907e-06,3.8510109190696347
43250,0.9564,0.0436,0.0,94.74013798329325,0.01139705924976921,5.7526011560693645e-06,3.8510640332946795
43500,0.956,0.044,0.0,94.73912233241633,0.01140668000047038,5.719540229885057e-06,3.8511179126435806
43750,0.958,0.042,0.0,94.73350163771774,0.011457511628448276,5.686857142857143e-06,3.8511701668570693
44000,0.958,0.042,0.0,94.7370382830939,0.011423688766286447,5.654545454545454e-06,3.851221579999946
44250,0.958,0.042,0.0,94.73929012061454,0.011404514704146204,5.622598870056497e-06,3.851273077514097
44500,0.958,0.042,0.0,94.737626350111,0.01141713951471227,5.5910112359550565e-06,3.8513242696629124
44750,0.9588,0.0412,0.0,94.73940185737186,0.011397558157486169,5.559776536312849e-06,3.8513759124022173
45000,0.958,0.042,0.0,94.74104936315587,0.011384986322094351,5.528888888888889e-06,3.8514278631110885
45250,0.9588,0.0412,0.0,94.73602103392828,0.011428468660507481,5.498342541436464e-06,3.8514788508286997
45500,0.9592,0.0408,0.0,94.73408578715268,0.011448024678515667,5.468131868131868e-06,3.8515276325274184
45750,0.9592,0.0408,0.0,94.73376545623299,0.011451486039222821,5.438251366120219e-06,3.851574817923407
46000,0.9596,0.0404,0.0,94.73498379385767,0.011439378653867903,5.408695652173913e-06,3.8516221582607475
46250,0.9568,0.0432,0.0,94.73744339675005,0.01142320596733949,5.37945945945946e-06,3.8516693465944587
46500,0.9576,0.0424,0.0,94.73293274657911,0.011462392431333564,5.3505376344086025e-06,3.851714974623529
46750,0.9584,0.0416,0.0,94.72962647132944,0.011490151541785293,5.32192513368984e-06,3.851759354866188
47000,0.9592,0.0408,0.0,94.73228158956081,0.011466995060032906,5.2936170212765955e-06,3.851802622978621
47250,0.9592,0.0408,0.0,94.7356008285996,0.011434713250820593,5.265608465608466e-06,3.851846625185058
47500,0.96,0.04,0.0,94.73182562827401,0.011466759849494553,5.237894736842106e-06,3.8518905818945854
47750,0.9588,0.0412,0.0,94.73204831481316,0.011466956293340666,5.210471204188481e-06,3.8519334215705094
48000,0.9584,0.0416,0.0,94.7329286413035,0.011459444019011417,5.183333333333333e-06,3.8519756416664785
48250,0.9596,0.0404,0.0,94.73492154613184,0.011439141540053323,5.156476683937824e-06,3.852017623212233
48500,0.9568,0.0432,0.0,94.73737787317023,0.011423200796958941,5.1298969072164945e-06,3.8520602738142333
48750,0.958,0.042,0.0,94.73343871741194,0.011457413331568453,5.103589743589744e-06,3.8521017977434084
49000,0.9564,0.0436,0.0,94.7372221817212,0.011423313446737129,5.077551020408163e-06,3.852143119999835
49250,0.9564,0.0436,0.0,94.73750331357586,0.011423730990029652,5.051776649746193e-06,3.8521833794922293
49500,0.9564,0.0436,0.0,94.73588190976415,0.011438999205044896,5.026262626262626e-06,3.8522225599998436
49750,0.9564,0.0436,0.0,94.73784003384895,0.011420647523650754,5.0010050251256285e-06,3.8522618677385423
50000,0.9556,0.0444,0.0,94.73795112072325,0.01141967516895537,4.976e-06,3.85230070559985
