# GRID = {'r': [1.0, 1.02, 1.04, 1.06, 1.08, 1.1, 1.12, 1.14, 1.16, 1.18, 1.2, 1.22, 1.24, 1.26, 1.28, 1.3, 1.32, 1.34, 1.36, 1.38, 1.4, 1.42, 1.44, 1.46, 1.48, 1.5, 1.52, 1.54, 1.56, 1.58, 1.6, 1.62, 1.64, 1.66, 1.68, 1.7, 1.72, 1.74, 1.76, 1.78, 1.8, 1.82, 1.84, 1.86, 1.88, 1.9, 1.92, 1.94, 1.96, 1.98, 2.0], 'allow_forced_l_in_cd': [True], 'eta': [0.0], 'sigma': [0.25, 0.26, 0.27, 0.28, 0.29, 0.3, 0.31, 0.32, 0.33, 0.34, 0.35]}
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000
allow_forced_l_in_cd,eta,r,sigma,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean
True,0.0,1.04,0.3,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623227830095972,233594.1295999999,20.304000000000002,464386672.2399462,464386651.93594635,1.62432e-07,3.7150933779195703,3.7150932154875704
True,0.0,1.04,0.28,0.9266560000000001,0.07334399999999999,0.0,93.43653439999997,0.020630620872103697,233591.3359999999,18.681600000000003,464371159.0127288,464371140.3311288,1.4945280000000002e-07,3.714969272101831,3.71496912264903
True,0.0,1.04,0.26,0.9266080000000001,0.073392,0.0,93.43485823999995,0.020642495772490263,233587.1455999999,15.4752,464347907.43351525,464347891.95831525,1.2380160000000002e-07,3.7147832594681223,3.714783135666522
True,0.0,1.04,0.31,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623227830095972,233594.1295999999,20.9808,464386671.6911463,464386650.7103463,1.6784639999999997e-07,3.7150933735291702,3.715093205682771
True,0.0,1.04,0.32,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623227830095972,233594.1295999999,21.606399999999997,464386671.3071464,464386649.70074636,1.7285119999999997e-07,3.7150933704571707,3.715093197605971
True,0.0,1.04,0.34,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623985577671658,233594.1295999999,23.147199999999994,464386671.2719463,464386648.1247463,1.8517760000000005e-07,3.7150933701755706,3.7150931849979703
True,0.0,1.04,0.27,0.9266560000000001,0.07334399999999999,0.0,93.43653439999997,0.020630620872103697,233591.3359999999,17.884800000000006,464371159.1167287,464371141.2319287,1.4307839999999997e-07,3.71496927293383,3.714969129855431
True,0.0,1.04,0.29,0.9266560000000001,0.07334399999999999,0.0,93.43653439999997,0.020630620872103697,233591.3359999999,19.395199999999996,464371158.6687289,464371139.27352875,1.551616e-07,3.7149692693498304,3.71496911418823
True,0.0,1.04,0.33,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623985577671658,233594.1295999999,22.44,464386671.37274635,464386648.9327463,1.7952000000000004e-07,3.715093370981971,3.7150931914619707
True,0.0,1.04,0.35,0.9266880000000001,0.07331199999999999,0.0,93.43765183999996,0.020623985577671658,233594.1295999999,23.856000000000005,464386671.20954627,464386647.3535463,1.9084800000000002e-07,3.715093369676371,3.7150931788283708
True,0.0,1.06,0.33,0.926504,0.07349599999999999,0.0,93.47109967999997,0.02043777397766135,233677.7491999999,24.921599999999998,464845394.0696119,464845369.1480118,1.993728e-07,3.7187631525568947,3.718762953184095
