t,frac_C,frac_D,frac_L,avg_res,gini,per_sigma,per_output,per_net,cum_net_hat,edges_CC,edges_CD,edges_DD,edges_CL,edges_DL,edges_LL,edges_total,edges_CC_ratio,edges_CD_ratio,edges_DD_ratio,edges_CL_ratio,edges_DL_ratio,edges_LL_ratio,D_perimeter,D_perimeter_ratio
5500,0.3408,0.6592,0.0,48.31780955951018,0.3432971702270361,0.0,4033.6000000000004,4033.6000000000004,1.390584581818184,1140,1128,2732,0,0,0,5000,0.228,0.2256,0.5464,0.0,0.0,0.0,1128,0.2256
5600,0.33,0.67,0.0,54.62952862591762,0.28354255389063837,0.0,4059.6,4059.6,1.392827542857145,1068,1164,2768,0,0,0,5000,0.2136,0.2328,0.5536,0.0,0.0,0.0,1164,0.2328
5700,0.2868,0.7132,0.0,56.19640485787443,0.24304597173249237,0.0,3496.8,3496.8,1.3946666385964925,858,1152,2990,0,0,0,5000,0.1716,0.2304,0.598,0.0,0.0,0.0,1152,0.2304
5800,0.2956,0.7044,0.0,47.73240817394556,0.3463259474082947,0.0,3356.8,3356.8,1.3930439724137944,979,998,3023,0,0,0,5000,0.1958,0.1996,0.6046,0.0,0.0,0.0,998,0.1996
5900,0.2836,0.7164,0.0,37.16614213863674,0.4609623412759739,0.0,3401.2,3401.2,1.389111430508476,927,982,3091,0,0,0,5000,0.1854,0.1964,0.6182,0.0,0.0,0.0,982,0.1964
6000,0.298,0.702,0.0,36.68426083576559,0.45348145928487504,0.0,3390.0,3390.0,1.3882532533333338,987,1006,3007,0,0,0,5000,0.1974,0.2012,0.6014,0.0,0.0,0.0,1006,0.2012
6100,0.2872,0.7128,0.0,44.40261430919944,0.39298586240820144,0.0,3663.2,3663.2,1.3900321836065574,912,1048,3040,0,0,0,5000,0.1824,0.2096,0.608,0.0,0.0,0.0,1048,0.2096
6200,0.3016,0.6984,0.0,45.70800147072462,0.37956136417438086,0.0,3880.4,3880.4,1.390778167741936,946,1124,2930,0,0,0,5000,0.1892,0.2248,0.586,0.0,0.0,0.0,1124,0.2248
6300,0.2144,0.7856,0.0,49.148546068304896,0.33077215443289515,0.0,3014.8,3014.8,1.3925068952380961,611,922,3467,0,0,0,5000,0.1222,0.1844,0.6934,0.0,0.0,0.0,922,0.1844
6400,0.3172,0.6828,0.0,35.175990628672416,0.4702942302898855,0.0,3799.6,3799.6,1.3887484749999996,1019,1134,2847,0,0,0,5000,0.2038,0.2268,0.5694,0.0,0.0,0.0,1134,0.2268
6500,0.2988,0.7012,0.0,41.01705917612696,0.3987821905381809,0.0,3625.2000000000003,3625.2000000000003,1.389266116923076,998,992,3010,0,0,0,5000,0.1996,0.1984,0.602,0.0,0.0,0.0,992,0.1984
6600,0.288,0.712,0.0,42.132890778034124,0.4174807606072835,0.0,3554.4,3554.4,1.3885171636363627,904,1072,3024,0,0,0,5000,0.1808,0.2144,0.6048,0.0,0.0,0.0,1072,0.2144
6700,0.2888,0.7112,0.0,44.64980666340401,0.36764873604571235,0.0,3336.0,3336.0,1.3893874149253715,969,950,3081,0,0,0,5000,0.1938,0.19,0.6162,0.0,0.0,0.0,950,0.19
6800,0.2964,0.7036,0.0,55.0913541702511,0.27151988205611255,0.0,3477.6000000000004,3477.6000000000004,1.3930095764705865,979,1006,3015,0,0,0,5000,0.1958,0.2012,0.603,0.0,0.0,0.0,1006,0.2012
6900,0.2708,0.7292,0.0,54.376944934950934,0.26386702633839704,0.0,3269.6,3269.6,1.3930641623188404,843,1022,3135,0,0,0,5000,0.1686,0.2044,0.627,0.0,0.0,0.0,1022,0.2044
7000,0.2296,0.7704,0.0,53.67086004663041,0.2594127675120067,0.0,2925.6,2925.6,1.3927912914285714,688,920,3392,0,0,0,5000,0.1376,0.184,0.6784,0.0,0.0,0.0,920,0.184
7100,0.2464,0.7536,0.0,35.892126397693225,0.4750360518899908,0.0,2935.2,2935.2,1.388756394366197,765,934,3301,0,0,0,5000,0.153,0.1868,0.6602,0.0,0.0,0.0,934,0.1868
7200,0.2816,0.7184,0.0,50.66274293927215,0.33200893888807875,0.0,3651.2,3651.2,1.3904553999999996,813,1190,2997,0,0,0,5000,0.1626,0.238,0.5994,0.0,0.0,0.0,1190,0.238
7300,0.2476,0.7524,0.0,51.866980647268775,0.2921200225703727,0.0,3108.0,3108.0,1.3909022246575347,780,916,3304,0,0,0,5000,0.156,0.1832,0.6608,0.0,0.0,0.0,916,0.1832
7400,0.192,0.808,0.0,38.19652659327199,0.4311037634676606,0.0,2620.4,2620.4,1.38789145945946,539,842,3619,0,0,0,5000,0.1078,0.1684,0.7238,0.0,0.0,0.0,842,0.1684
7500,0.2564,0.7436,0.0,35.76834191303364,0.46940403017163007,0.0,3266.4,3266.4,1.3862337493333334,752,1060,3188,0,0,0,5000,0.1504,0.212,0.6376,0.0,0.0,0.0,1060,0.212
7600,0.2852,0.7148,0.0,43.46030593914421,0.39435775050789296,0.0,3410.8,3410.8,1.3860531368421047,917,1018,3065,0,0,0,5000,0.1834,0.2036,0.613,0.0,0.0,0.0,1018,0.2036
7700,0.2544,0.7456,0.0,43.52037304266719,0.3850987327330024,0.0,2987.2,2987.2,1.3860659324675308,831,882,3287,0,0,0,5000,0.1662,0.1764,0.6574,0.0,0.0,0.0,882,0.1764
7800,0.2332,0.7668,0.0,33.043864652210495,0.4833630184777302,0.0,2774.8,2774.8,1.3836904615384604,767,798,3435,0,0,0,5000,0.1534,0.1596,0.687,0.0,0.0,0.0,798,0.1596
7900,0.3188,0.6812,0.0,35.580316415350545,0.4806517671085133,0.0,3994.0,3994.0,1.3824482227848092,995,1198,2807,0,0,0,5000,0.199,0.2396,0.5614,0.0,0.0,0.0,1198,0.2396
8000,0.3152,0.6848,0.0,43.71632285716658,0.4029955674264416,0.0,3690.8,3690.8,1.3832876999999981,1064,1024,2912,0,0,0,5000,0.2128,0.2048,0.5824,0.0,0.0,0.0,1024,0.2048
8100,0.2828,0.7172,0.0,47.605065795781606,0.34646116655668663,0.0,3266.4000000000005,3266.4000000000005,1.3835690666666647,973,882,3145,0,0,0,5000,0.1946,0.1764,0.629,0.0,0.0,0.0,882,0.1764
8200,0.246,0.754,0.0,44.27426171144635,0.3851969110147136,0.0,3249.2,3249.2,1.3830522731707295,729,1002,3269,0,0,0,5000,0.1458,0.2004,0.6538,0.0,0.0,0.0,1002,0.2004
8300,0.2884,0.7116,0.0,39.144373749610395,0.4548831642358056,0.0,3466.4,3466.4,1.3817292337349374,877,1130,2993,0,0,0,5000,0.1754,0.226,0.5986,0.0,0.0,0.0,1130,0.226
8400,0.316,0.684,0.0,53.27717214208314,0.2916307853963895,0.0,4029.2,4029.2,1.3834689142857115,975,1210,2815,0,0,0,5000,0.195,0.242,0.563,0.0,0.0,0.0,1210,0.242
8500,0.316,0.684,0.0,53.085533512959394,0.293377775647332,0.0,3698.0,3698.0,1.3838111811764677,1040,1080,2880,0,0,0,5000,0.208,0.216,0.576,0.0,0.0,0.0,1080,0.216
8600,0.3148,0.6852,0.0,58.59987627936825,0.21385191703582146,0.0,3682.3999999999996,3682.3999999999996,1.3856268279069737,1028,1092,2880,0,0,0,5000,0.2056,0.2184,0.576,0.0,0.0,0.0,1092,0.2184
8700,0.2744,0.7256,0.0,57.48033194310407,0.23767887631291593,0.0,3222.8,3222.8,1.3866835678160894,796,1152,3052,0,0,0,5000,0.1592,0.2304,0.6104,0.0,0.0,0.0,1152,0.2304
8800,0.25,0.75,0.0,54.691629962054556,0.25068634942733303,0.0,3426.0,3426.0,1.3857856909090884,696,1108,3196,0,0,0,5000,0.1392,0.2216,0.6392,0.0,0.0,0.0,1108,0.2216
8900,0.286,0.714,0.0,55.634827099045296,0.26806645329534323,0.0,3421.2,3421.2,1.3866306696629194,935,990,3075,0,0,0,5000,0.187,0.198,0.615,0.0,0.0,0.0,990,0.198
9000,0.3224,0.6776,0.0,54.01423255463291,0.29960401090514743,0.0,4090.8,4090.8,1.3874949511111077,1000,1224,2776,0,0,0,5000,0.2,0.2448,0.5552,0.0,0.0,0.0,1224,0.2448
9100,0.2732,0.7268,0.0,41.80622518426249,0.4038511533570318,0.0,3435.2,3435.2,1.3866191824175793,842,1048,3110,0,0,0,5000,0.1684,0.2096,0.622,0.0,0.0,0.0,1048,0.2096
9200,0.2744,0.7256,0.0,36.493928953344984,0.4502689690161045,0.0,3164.3999999999996,3164.3999999999996,1.3855256869565191,937,870,3193,0,0,0,5000,0.1874,0.174,0.6386,0.0,0.0,0.0,870,0.174
9300,0.182,0.818,0.0,35.23693237269284,0.4575219245895383,0.0,2428.3999999999996,2428.3999999999996,1.3844937806451583,526,768,3706,0,0,0,5000,0.1052,0.1536,0.7412,0.0,0.0,0.0,768,0.1536
9400,0.3236,0.6764,0.0,33.604152537425925,0.48679535738647234,0.0,3850.3999999999996,3850.3999999999996,1.382504646808508,1046,1144,2810,0,0,0,5000,0.2092,0.2288,0.562,0.0,0.0,0.0,1144,0.2288
9500,0.2284,0.7716,0.0,35.10884329715073,0.4570025173616231,0.0,2722.4,2722.4,1.3820890442105236,725,834,3441,0,0,0,5000,0.145,0.1668,0.6882,0.0,0.0,0.0,834,0.1668
9600,0.2468,0.7532,0.0,32.183333897956835,0.49055333885026586,0.0,3086.3999999999996,3086.3999999999996,1.3807943333333308,771,926,3303,0,0,0,5000,0.1542,0.1852,0.6606,0.0,0.0,0.0,926,0.1852
9700,0.3,0.7,0.0,40.61479352983152,0.4185871282552325,0.0,3608.0,3608.0,1.3806569402061832,964,1072,2964,0,0,0,5000,0.1928,0.2144,0.5928,0.0,0.0,0.0,1072,0.2144
9800,0.3196,0.6804,0.0,40.960939678015464,0.4266670771108501,0.0,3844.4,3844.4,1.380085273469384,1058,1080,2862,0,0,0,5000,0.2116,0.216,0.5724,0.0,0.0,0.0,1080,0.216
9900,0.2272,0.7728,0.0,49.80752825237145,0.3062620939661351,0.0,2946.3999999999996,2946.3999999999996,1.381541527272723,643,986,3371,0,0,0,5000,0.1286,0.1972,0.6742,0.0,0.0,0.0,986,0.1972
10000,0.3168,0.6832,0.0,56.310872314004996,0.26137706235477537,0.0,4019.6,4019.6,1.3822444959999958,1016,1136,2848,0,0,0,5000,0.2032,0.2272,0.5696,0.0,0.0,0.0,1136,0.2272
10100,0.2156,0.7844,0.0,46.69869158079718,0.3157035175447876,0.0,2600.0,2600.0,1.3814476356435619,674,808,3518,0,0,0,5000,0.1348,0.1616,0.7036,0.0,0.0,0.0,808,0.1616
10200,0.3184,0.6816,0.0,48.66310554982746,0.3408994135143441,0.0,3702.8,3702.8,1.3810739137254886,1056,1072,2872,0,0,0,5000,0.2112,0.2144,0.5744,0.0,0.0,0.0,1072,0.2144
10300,0.2364,0.7636,0.0,50.84850158160137,0.30190334189055096,0.0,2745.6,2745.6,1.3821872776699005,772,820,3408,0,0,0,5000,0.1544,0.164,0.6816,0.0,0.0,0.0,820,0.164
10400,0.3152,0.6848,0.0,57.77260606175328,0.22827759386711738,0.0,3744.0,3744.0,1.3833479076923052,1039,1074,2887,0,0,0,5000,0.2078,0.2148,0.5774,0.0,0.0,0.0,1074,0.2148
10500,0.2308,0.7692,0.0,43.586178145800254,0.38217916568806104,0.0,2878.4,2878.4,1.3816562742857121,687,934,3379,0,0,0,5000,0.1374,0.1868,0.6758,0.0,0.0,0.0,934,0.1868
10600,0.326,0.674,0.0,52.22499598380966,0.31416507668924537,0.0,4083.2000000000003,4083.2000000000003,1.381936377358489,1062,1136,2802,0,0,0,5000,0.2124,0.2272,0.5604,0.0,0.0,0.0,1136,0.2272
10700,0.266,0.734,0.0,54.99745226595777,0.2644787418580074,0.0,3342.4,3342.4,1.3832209495327084,808,1044,3148,0,0,0,5000,0.1616,0.2088,0.6296,0.0,0.0,0.0,1044,0.2088
10800,0.2572,0.7428,0.0,54.93872206980039,0.2529300068370483,0.0,3087.6,3087.6,1.384239540740738,835,902,3263,0,0,0,5000,0.167,0.1804,0.6526,0.0,0.0,0.0,902,0.1804
10900,0.3432,0.6568,0.0,56.487347894976594,0.2590880010659968,0.0,4250.4,4250.4,1.3847625834862372,1076,1280,2644,0,0,0,5000,0.2152,0.256,0.5288,0.0,0.0,0.0,1280,0.256
11000,0.292,0.708,0.0,51.53955404253594,0.3197248213887656,0.0,3608.8,3608.8,1.3845215127272716,892,1136,2972,0,0,0,5000,0.1784,0.2272,0.5944,0.0,0.0,0.0,1136,0.2272
11100,0.3312,0.6688,0.0,51.43013128016738,0.3204337083988823,0.0,3926.0,3926.0,1.384883372972971,1092,1128,2780,0,0,0,5000,0.2184,0.2256,0.556,0.0,0.0,0.0,1128,0.2256
11200,0.2876,0.7124,0.0,44.41106251529682,0.39663950636260087,0.0,3475.2,3475.2,1.3845732285714272,930,1016,3054,0,0,0,5000,0.186,0.2032,0.6108,0.0,0.0,0.0,1016,0.2032
11300,0.2708,0.7292,0.0,47.69388865333479,0.3458787059634192,0.0,3531.2,3531.2,1.3845964176991146,817,1074,3109,0,0,0,5000,0.1634,0.2148,0.6218,0.0,0.0,0.0,1074,0.2148
11400,0.3344,0.6656,0.0,55.13998736443792,0.2839857105440636,0.0,4200.0,4200.0,1.3853712421052626,1098,1148,2754,0,0,0,5000,0.2196,0.2296,0.5508,0.0,0.0,0.0,1148,0.2296
11500,0.352,0.648,0.0,54.26444200102363,0.2774408220959767,0.0,4057.2,4057.2,1.3849945043478267,1181,1158,2661,0,0,0,5000,0.2362,0.2316,0.5322,0.0,0.0,0.0,1158,0.2316
11600,0.2968,0.7032,0.0,58.20258296482043,0.2427791710037003,0.0,3729.2000000000003,3729.2000000000003,1.3867685241379308,950,1068,2982,0,0,0,5000,0.19,0.2136,0.5964,0.0,0.0,0.0,1068,0.2136
11700,0.256,0.744,0.0,54.47695838677575,0.26322393020875134,0.0,3236.3999999999996,3236.3999999999996,1.3868318358974367,770,1020,3210,0,0,0,5000,0.154,0.204,0.642,0.0,0.0,0.0,1020,0.204
11800,0.3116,0.6884,0.0,52.02454540947468,0.30823657595822673,0.0,3680.4,3680.4,1.3866118372881366,1074,968,2958,0,0,0,5000,0.2148,0.1936,0.5916,0.0,0.0,0.0,968,0.1936
11900,0.3016,0.6984,0.0,51.90970342119243,0.30877593641122325,0.0,3566.0,3566.0,1.3873350050420177,988,1040,2972,0,0,0,5000,0.1976,0.208,0.5944,0.0,0.0,0.0,1040,0.208
12000,0.2048,0.7952,0.0,44.24568038141958,0.36549066245015,0.0,2428.4,2428.4,1.3859428666666673,638,772,3590,0,0,0,5000,0.1276,0.1544,0.718,0.0,0.0,0.0,772,0.1544
12100,0.2956,0.7044,0.0,38.109200998587745,0.4406919125568568,0.0,3589.6000000000004,3589.6000000000004,1.3845575801652916,948,1060,2992,0,0,0,5000,0.1896,0.212,0.5984,0.0,0.0,0.0,1060,0.212
