# GRID = {'r': [1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9, 2.0], 'allow_forced_l_in_cd': [True, False], 'eta': [0,0.2,0.4,0.6,0.8, 1]},,,,
# BASE = Params(Lsize=50, T=50000, fc=0.5, fd=0.5, fL=None, pi0=10.0, r=1.6, sigma=0.25, alpha=1.0, gamma=70.0, beta=0.1, Min_Res=-10000.0, kappa=1, learn_signal='hybrid', seed=0, allow_forced_l_in_cd=False, update_rule='best_imitation_logit', eta=0.5, scale_low=0.0, scale_high=1.0, scale_eps=1e-09)
# REPLICAS = 50, T = 50000,,,,,,,,,,,,,,,,,,,
allow_forced_l_in_cd,eta,r,frac_C_mean,frac_D_mean,frac_L_mean,avg_res_mean,gini_mean,sum_res_mean,cum_sigma_mean,cum_output_mean,net_output_mean,cum_sigma_hat_mean,cum_output_hat_mean,net_output_hat_mean,,,,,,
TRUE,0.8,1.6,0.7452960000000001,0.253592,0.0011120000000000001,89.04132124877917,0.047755450953452544,222603.30312194792,132477.86,408207398.5760096,408074920.7160096,0.0010598228800000001,3.265659188608077,3.2645993657280763,,,,,,
FALSE,0.4,1.7,0.361576,0.638424,0,73.37668021792142,0.0867961709769152,183441.70054480352,0,226074655.33600014,226074655.33600014,0,1.808597242688001,1.808597242688001,,,,,,
FALSE,0.6,1.7,0.555376,0.444624,0,83.45200872327507,0.05574324068291281,208630.0218081876,0,330690212.3,330690212.3,0,2.645521699,2.645521699,,,,,,
FALSE,1,1.7,0.8410880000000001,0.15891200000000003,0,80.6287270963473,0.1342852997544784,201571.81774086825,0,446623280.99597037,446623280.99597037,0,3.5729862479677625,3.5729862479677625,,,,,,
FALSE,0.2,1.7,0.30448800000000004,0.6955120000000001,0,61.066611372364434,0.20154970937540884,152666.52843091107,0,189900624.10799977,189900624.10799977,0,1.5192049928639981,1.5192049928639981,,,,,,
FALSE,0.8,1.7,0.608696,0.39130400000000004,0,85.33831725242233,0.05407678661248357,213345.7931310558,0,357192584.5599997,357192584.5599997,0,2.857540676479997,2.857540676479997,,,,,,
FALSE,0,1.7,0.272328,0.727672,0,43.89299487029821,0.3805890648915543,109732.48717574551,0,171340713.37599993,171340713.37599993,0,1.3707257070079992,1.3707257070079992,,,,,,
TRUE,0.2,1.7,0.31912799999999997,0.6233439999999999,0.057527999999999996,69.92056959741039,0.10729060154061605,174801.42399352603,7298440.72,198938690.3679999,191640249.6479999,0.058387526,1.5915095229439993,1.5331219971839993,,,,,,
TRUE,0.4,1.7,0.35952799999999996,0.640128,0.000344,73.4288130306555,0.08599833732067597,183572.03257663877,56335.58,227002390.6699998,226946055.0899998,0.000450685,1.8160191253599982,1.8155684407199986,,,,,,
TRUE,1,1.7,0.8407040000000001,0.15872799999999998,0.0005679999999999999,91.88100570168382,0.03386372151465181,229702.51425420961,66135.08,446489698.5699646,446423563.4899646,0.000529081,3.5719175885597174,3.571388507919717,,,,,,
TRUE,0.6,1.7,0.57324,0.426736,2.4e-05,84.26006114653494,0.05444530042475087,210650.15286633736,7929.26,336873318.6219997,336865389.3619997,6.343408e-05,2.6949865489759968,2.694923114895997,,,,,,
TRUE,0,1.7,0.32280000000000003,0.5741919999999999,0.10300799999999999,70.0168280840217,0.10454739337475705,175042.07021005425,12633229.7,192412711.3,179779481.6,0.10106583760000001,1.53930169,1.4382358525600005,,,,,,
TRUE,0.8,1.7,0.7375919999999999,0.260848,0.0015600000000000002,89.13881508494288,0.04901433687981822,222847.03771235718,173189.64,411836574.22999406,411663384.5899941,0.001385517,3.294692593839952,3.2933070767199526,,,,,,
FALSE,0.6,1.8,0.51516,0.48484,0,82.34119989991503,0.06064101031656879,205852.99974978756,0,305245918.78400034,305245918.78400034,0,2.4419673502720025,2.4419673502720025,,,,,,
FALSE,0.2,1.8,0.28143199999999996,0.7185680000000001,0,52.186540545107036,0.30445462813164054,130466.35136276759,0,187032771.75999966,187032771.75999966,0,1.4962621740799975,1.4962621740799975,,,,,,
FALSE,0.4,1.8,0.289176,0.7108240000000001,0,47.83387476823813,0.32553101719049765,119584.68692059531,0,194756970.1440004,194756970.1440004,0,1.558055761152003,1.558055761152003,,,,,,
FALSE,0.8,1.8,0.594248,0.405752,0,85.18617234155153,0.05687556688132327,212965.4308538788,0,352686644.8960004,352686644.8960004,0,2.8214931591680035,2.8214931591680035,,,,,,
FALSE,0,1.8,0.25804,0.7419600000000002,0,38.211238747228556,0.4323192913840313,95528.09686807138,0,170816725.43999988,170816725.43999988,0,1.3665338035199988,1.3665338035199988,,,,,,
TRUE,0.2,1.8,0.30716,0.62992,0.06292,70.94138297994104,0.10253949647119959,177353.4574498526,9985132.1,202082168.22400007,192097036.12400004,0.07988105679999999,1.6166573457920004,1.5367762889920005,,,,,,
TRUE,0.6,1.8,0.483928,0.516072,0,80.73166747887144,0.0645843229988725,201829.1686971786,7534.18,307714760.27600014,307707226.09600013,6.027344000000001e-05,2.461718082208001,2.461657808768001,,,,,,
FALSE,1,1.8,0.8253119999999999,0.17468799999999998,0,78.16976958421095,0.1550726360863049,195424.4239605274,0,445211056.39992625,445211056.39992625,0,3.561688451199409,3.561688451199409,,,,,,
TRUE,0.4,1.8,0.347712,0.6380720000000001,0.014216000000000001,69.9772992327272,0.12264987920330421,174943.248081818,2426554.28,215797135.68799984,213370581.40799984,0.019412434240000002,1.7263770855039988,1.7069646512639987,,,,,,
TRUE,1,1.8,0.8253440000000001,0.173704,0.0009519999999999999,91.73026743301396,0.03544272807036852,229325.6685825349,103320.28,445123505.435943,445020185.155943,0.0008265622400000001,3.5609880434875434,3.5601614812475435,,,,,,
TRUE,0,1.8,0.32459999999999994,0.5629279999999999,0.11247200000000002,71.53111789048286,0.09437313741171696,178827.79472620715,13767684.74,195355337.1480003,181587652.4080003,0.110141478,1.562842697184002,1.452701219264002,,,,,,
TRUE,0.8,1.8,0.6921279999999999,0.30580799999999997,0.0020640000000000003,88.52125834826295,0.05193296877165789,221303.14587065738,275184.82,402299548.5079981,402024363.6879981,0.002201479,3.218396388063985,3.216194909503985,,,,,,
FALSE,0.6,1.9,0.16737600000000005,0.832624,0,-4498.489652,0.37105719171771967,-11246224.13,0,117933300.07999992,117933300.07999992,0,0.9434664006399991,0.9434664006399991,,,,,,
FALSE,0.2,1.9,0.07156799999999999,0.9284319999999999,0,-7658.055324,0.22272883862898155,-19145138.31,0,49709893.62799991,49709893.62799991,0,0.39767914902399926,0.39767914902399926,,,,,,
FALSE,0,1.9,0.25239999999999996,0.7476,0,33.26241826742362,0.47691589189646627,83156.04566855905,0,169785558,169785558,0,1.3582844636479998,1.3582844636479998,,,,,,
FALSE,0.4,1.9,0,1,0,-9999.539979,1.6479581093917094e-05,-24998849.95,0,239403.62,239403.62,0,0.001915229,0.001915229,,,,,,
TRUE,0.2,1.9,0.33352,0.560808,0.105672,72.41304770081324,0.09649255722701257,181032.6192520331,13608341.6,206961840.63600007,193353499.03600007,0.10886673280000002,1.6556947250880003,1.5468279922880002,,,,,,
TRUE,0.4,1.9,0.31188,0.56252,0.12560000000000002,70.62529336973175,0.11265776829217856,176563.23342432943,18319681.12,190176541.5980001,171856860.4780001,0.146557449,1.5214123327840008,1.3748548838240007,,,,,,
FALSE,0.8,1.9,0.5564399999999999,0.44356,0,83.95656529142026,0.06385278308604937,209891.41322855066,0,336338816.2839994,336338816.2839994,0,2.6907105302719954,2.6907105302719954,,,,,,
